"filename", "language", "JSON with Comments", "TypeScript", "Markdown", "JSON", "YAML", "JavaScript", "HTML", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\src\scripts\seedMaster.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 0, 2, 8, 58
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\src\services\analyticsService.ts", "TypeScript", 0, 369, 0, 0, 0, 0, 0, 0, 26, 75, 470
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\src\services\emailService.ts", "TypeScript", 0, 288, 0, 0, 0, 0, 0, 0, 15, 34, 337
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\src\services\stripeService.ts", "TypeScript", 0, 274, 0, 0, 0, 0, 0, 0, 22, 54, 350
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\src\services\userManagementService.ts", "TypeScript", 0, 348, 0, 0, 0, 0, 0, 0, 31, 77, 456
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\src\types\global.d.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\src\utils\subscriptionUtils.ts", "TypeScript", 0, 115, 0, 0, 0, 0, 0, 0, 15, 28, 158
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\test-subscription.ts", "TypeScript", 0, 90, 0, 0, 0, 0, 0, 0, 5, 13, 108
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\tsconfig.json", "JSON with Comments", 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\anieu\tribal-gnosis-live\tsconfig.json", "JSON with Comments", 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\anieu\tribal-gnosis-live\types.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\anieu\tribal-gnosis-live\vite.config.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 2, 3, 21
"c:\Users\anieu\tribal-gnosis-live\vitest.config.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 1, 1, 23
"Total", "-", 78, 3326, 714, 15881, 88, 16, 13, 87, 264, 788, 21255
