"filename", "language", "JSON with Comments", "TypeScript", "Markdown", "TypeScript JSX", "JSON", "HTML", "PostCSS", "YAML", "JavaScript", "comment", "blank", "total"
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\src\config\database.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 2, 9, 50
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\src\index.ts", "TypeScript", 0, 585, 0, 0, 0, 0, 0, 0, 0, 64, 117, 766
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\src\middleware\auth.ts", "TypeScript", 0, 67, 0, 0, 0, 0, 0, 0, 0, 3, 18, 88
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\src\middleware\subscriptionMiddleware.ts", "TypeScript", 0, 177, 0, 0, 0, 0, 0, 0, 0, 21, 35, 233
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\src\models\index.ts", "TypeScript", 0, 271, 0, 0, 0, 0, 0, 0, 0, 10, 18, 299
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\src\models\userManagement.ts", "TypeScript", 0, 283, 0, 0, 0, 0, 0, 0, 0, 17, 22, 322
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\src\references.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\src\routes\invitations.ts", "TypeScript", 0, 50, 0, 0, 0, 0, 0, 0, 0, 2, 13, 65
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\src\routes\userManagement.ts", "TypeScript", 0, 205, 0, 0, 0, 0, 0, 0, 0, 8, 50, 263
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\src\scripts\seedMaster.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 0, 0, 2, 8, 58
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\src\services\analyticsService.ts", "TypeScript", 0, 369, 0, 0, 0, 0, 0, 0, 0, 26, 75, 470
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\src\services\emailService.ts", "TypeScript", 0, 288, 0, 0, 0, 0, 0, 0, 0, 15, 34, 337
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\src\services\stripeService.ts", "TypeScript", 0, 274, 0, 0, 0, 0, 0, 0, 0, 22, 54, 350
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\src\services\userManagementService.ts", "TypeScript", 0, 348, 0, 0, 0, 0, 0, 0, 0, 31, 77, 456
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\src\types\global.d.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\src\utils\subscriptionUtils.ts", "TypeScript", 0, 115, 0, 0, 0, 0, 0, 0, 0, 15, 28, 158
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\test-subscription.ts", "TypeScript", 0, 90, 0, 0, 0, 0, 0, 0, 0, 5, 13, 108
"c:\Users\anieu\tribal-gnosis-live\tribal-gnosis-backend\tsconfig.json", "JSON with Comments", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\anieu\tribal-gnosis-live\tsconfig.json", "JSON with Comments", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\anieu\tribal-gnosis-live\types.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\anieu\tribal-gnosis-live\vite.config.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 3, 21
"c:\Users\anieu\tribal-gnosis-live\vitest.config.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 1, 23
"Total", "-", 78, 4063, 714, 6785, 15881, 72, 3, 88, 16, 425, 1547, 29672
